,name_scrapped,id,link_spotify,followers,generos,imagenes,popularidad,nombre_en_spotify,type_of_artist,lugar_extraido,index_on_last_dataset
543,Banda Vocal NVoz,<built-in function id>,https://open.spotify.com/artist/2700O3t6kHNK9VNvldm9um,271,['musica andina colombiana'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb74fba8433e5775a70d22fdca', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517474fba8433e5775a70d22fdca', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17874fba8433e5775a70d22fdca', 'width': 160}]",2,Banda Vocal Nvoz,<class 'type'>,simus,544
544,Tuna Femenina Universidad de Los Andes,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,545
545,Julian Benavides,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,546
546,Miseria Crú,<built-in function id>,https://open.spotify.com/artist/2fc0FZ7TIvAmaPY7EDuc4e,25,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27345c33b9f81884950d0ae24d4', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0245c33b9f81884950d0ae24d4', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485145c33b9f81884950d0ae24d4', 'width': 64}]",0,Miseria Crú,<class 'type'>,simus,547
547,Manuel De la Rosa,<built-in function id>,https://open.spotify.com/artist/5P6rI0OADZPcATY8Ak1YH0,10,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273d5628256ea492a7e6786420f', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02d5628256ea492a7e6786420f', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851d5628256ea492a7e6786420f', 'width': 64}]",0,Manuel de la Rosa,<class 'type'>,simus,548
548,Cachicamo,<built-in function id>,https://open.spotify.com/artist/3sQ7rnaTEYdDanwJHrHgPM,471,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b27309297b909de35ad550c16bda', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e0209297b909de35ad550c16bda', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d0000485109297b909de35ad550c16bda', 'width': 64}]",3,Cachicamo,<class 'type'>,simus,549
549,Adrián Una Canción Necesaria,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,550
550,Para: lello,<built-in function id>,https://open.spotify.com/artist/2zDrdKaLaDRozxVC86rJU6,21945,['deep norteno'],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab67616d0000b273c205afbd51ee034c27b8eaff', 'width': 640}, {'height': 300, 'url': 'https://i.scdn.co/image/ab67616d00001e02c205afbd51ee034c27b8eaff', 'width': 300}, {'height': 64, 'url': 'https://i.scdn.co/image/ab67616d00004851c205afbd51ee034c27b8eaff', 'width': 64}]",30,Paralelo Norte,<class 'type'>,simus,551
551,Ana Naranja,<built-in function id>,https://open.spotify.com/artist/2nTGMPHzQvrJKH2j1LSQiq,300,[],"[{'height': 640, 'url': 'https://i.scdn.co/image/ab6761610000e5eb48c9aa6712c48d4079ee110a', 'width': 640}, {'height': 320, 'url': 'https://i.scdn.co/image/ab6761610000517448c9aa6712c48d4079ee110a', 'width': 320}, {'height': 160, 'url': 'https://i.scdn.co/image/ab6761610000f17848c9aa6712c48d4079ee110a', 'width': 160}]",23,Ana Naranja,<class 'type'>,simus,552
552,Casa de fado,<built-in function id>,not in database,0,not in database,not in database,0,not in database,<class 'type'>,simus,553
